"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FRLMDispositifMedical","FRLMDispositifMedical","FRLMDispositifMedical","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - Dispositif médical","Dispositif médical","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FRLMDispositifMedical","FRLMDispositifMedical.identifiant","FRLMDispositifMedical.identifiant","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiant unique du DM (UDI)","Identifiant unique du DM (UDI)","","","","","","","","","",,,,,"",,,,"FRLMDispositifMedical.identifiant",0,*,"",""
"FRLMDispositifMedical","FRLMDispositifMedical.type","FRLMDispositifMedical.type","","","",1,1,"","","","Base {[]} {[]}
","Type de DM","Type de DM","","","","","","","","","",,,,,"",,,,"FRLMDispositifMedical.type",1,1,"",""
"FRLMDispositifMedical","FRLMDispositifMedical.type.code","FRLMDispositifMedical.type.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code du DM","Code du DM","","","","","","","","","",,,,,"",,,,"FRLMDispositifMedical.type.code",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FRLMDispositifMedical","FRLMDispositifMedical.type.code.id","FRLMDispositifMedical.type.code.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"FRLMDispositifMedical","FRLMDispositifMedical.type.code.extension","FRLMDispositifMedical.type.code.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FRLMDispositifMedical","FRLMDispositifMedical.type.code.coding","FRLMDispositifMedical.type.code.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FRLMDispositifMedical","FRLMDispositifMedical.type.code.text","FRLMDispositifMedical.type.code.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FRLMDispositifMedical","FRLMDispositifMedical.type.code.autreCode","FRLMDispositifMedical.type.code.autreCode","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Autre code du dispositif médical","Autre code du dispositif médical","","","","","","","","","",,,,,"",,,,"FRLMDispositifMedical.type.code.autreCode",0,*,"",""
"fr-author-time-extension","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Horodatage de la participation de l’auteur.","Extension permettant d'ajouter un horodatage (TS) à l'élément author d'une Composition.","","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"fr-author-time-extension","Extension.id","Extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"fr-author-time-extension","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"fr-author-time-extension","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-author-time-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"fr-author-time-extension","Extension.value[x]","Extension.value[x]","","","",0,1,"","","","dateTime {[]} {[]}
","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
